Project,Src,#,Functionality,Main API
CoreNLP,edu.stanford.nlp.pipeline.GenderAnnotator,27,Information Extraction,
Gate-Core,gate.annotation.CorpusAnnotationDiff,10,DataStructure,FALSE
CoreNLP,edu.stanford.nlp.sentiment.SentimentPipeline,46,Linguistic Labeling,FALSE
Gate-Core,gate.creole.CreoleRegisterImpl,9,DataStructure,TRUE
Gate-Core,gate.corpora.SerialCorpusImpl,1,DataStructure,TRUE
opennlp,opennlp.tools.postag.POSTaggerFactory,14,Linguistic Labeling,
Mallet,cc.mallet.classify.MaxEnt,4,ML Algorithms,FALSE
Mallet,cc.mallet.topics.TopicInferencer,16,Topic Modelling,
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,5,ML Algorithms,FALSE
Mallet,cc.mallet.classify.NaiveBayes,3,ML Algorithms,FALSE
Mallet,cc.mallet.types.AugmentableFeatureVector,2,DataStructure,FALSE
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelDistribution,6,ML Algorithms,FALSE
Mallet,cc.mallet.fst.HMM,9,ML Algorithms,FALSE
Mallet,cc.mallet.classify.NaiveBayesTrainer,7,ML Algorithms,FALSE
Mallet,cc.mallet.cluster.KMeans,8,ML Algorithms,FALSE
CogComp-NLP,edu.illinois.cs.cogcomp.pos.MikheevLearner,4,ML Algorithms,FALSE
CogComp-NLP,edu.illinois.cs.cogcomp.pos.POSBaselineLearner,5,ML Algorithms,FALSE
CogComp-NLP,edu.illinois.cs.cogcomp.nlp.lemmatizer.IllinoisLemmatizer,13,Normalizer,FALSE
CoreNLP,edu.stanford.nlp.process.Morphology,33,Normalizer,FALSE
CoreNLP,edu.stanford.nlp.pipeline.StanfordCoreNLP,16,Linguistic Labeling,TRUE
CoreNLP,edu.stanford.nlp.pipeline.MorphaAnnotator,11,Normalizer,TRUE
opennlp,opennlp.tools.stemmer.snowball.greekStemmer,3,Normalizer,
opennlp,opennlp.tools.ml.maxent.GISTrainer,1,ML Algorithms,FALSE
opennlp,opennlp.tools.tokenize.TokenizerME,17,Segmentation,
opennlp,opennlp.tools.stemmer.PorterStemmer,2,Normalizer,
opennlp,opennlp.tools.stemmer.snowball.arabicStemmer,4,Normalizer,
CoreNLP,edu.stanford.nlp.pipeline.ParserAnnotator,9,Parser,TRUE
CoreNLP,edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer,32,Parser,TRUE
CoreNLP,edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams,37,Parser,FALSE
CoreNLP,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,8,Parser,FALSE
CoreNLP,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,1,Parser,FALSE
CoreNLP,edu.stanford.nlp.parser.lexparser.LexicalizedParser,38,Parser,FALSE
CoreNLP,edu.stanford.nlp.parser.lexparser.SplittingGrammarExtractor,40,Parser,FALSE
CoreNLP,edu.stanford.nlp.process.Stemmer,34,Normalizer,FALSE
CoreNLP,edu.stanford.nlp.pipeline.QuoteAnnotator,14,Information Extraction,TRUE
CoreNLP,edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,28,Segmentation,FALSE
CoreNLP,edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,4,Segmentation,FALSE
Gate-Core,gate.creole.annic.lucene.SubQueryParser,11,Parser,
CoreNLP,edu.stanford.nlp.pipeline.TokenizerAnnotator,18,Segmentation,TRUE
CoreNLP,edu.stanford.nlp.process.PTBTokenizer,10,Segmentation,FALSE
CogComp-NLP,edu.illinois.cs.cogcomp.nlp.tokenizer.TokenizerStateMachine,6,Segmentation,FALSE
CoreNLP,edu.stanford.nlp.pipeline.LabeledChunkIdentifier,6,Segmentation,FALSE
CoreNLP,edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,25,Segmentation,TRUE
Gate-Core,gate.util.CorpusBenchmarkTool,8,ML Algorithms,TRUE
CogComp-NLP,org.cogcomp.md.BIOReader,7,Parser,FALSE
CogComp-NLP,org.cogcomp.md.ExtentReader,10,Parser,FALSE
CoreNLP,edu.stanford.nlp.process.WordToSentenceProcessor,35,Segmentation,FALSE
Gate-Core,gate.creole.annic.lucene.QueryParser,7,Parser,FALSE
CoreNLP,edu.stanford.nlp.pipeline.JSONOutputter,5,Parser,TRUE
CoreNLP,edu.stanford.nlp.pipeline.CleanXmlAnnotator,24,Information Extraction,TRUE
opennlp,opennlp.tools.stemmer.snowball.SnowballProgram,5,Normalizer,
opennlp,opennlp.tools.stemmer.snowball.SnowballStemmer,6,Normalizer,
Mallet,cc.mallet.topics.MultinomialHMM,15,Topic Modelling,
Mallet,cc.mallet.topics.ParallelTopicModel,12,Topic Modelling,FALSE
Mallet,cc.mallet.fst.CRF,10,ML Algorithms,FALSE
Mallet,cc.mallet.fst.SumLatticeBeam,11,ML Algorithms,FALSE
