TARGET_CLASS,attempt,criterion,Coverage,Total_Goals,BranchCoverage,LineCoverage,CBranchCoverage,Covered_Goals,Tests_Executed
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,4,BRANCH;LINE;CBRANCH,0.15511265164644714,5770,0.10835214446952596,0.31044776119402984,0.10790067720090293,895,204
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,5,BRANCH;LINE;CBRANCH,0.1660311958405546,5770,0.11783295711060948,0.3253731343283582,0.11783295711060948,958,195
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,2,BRANCH;LINE;CBRANCH,0.1663778162911612,5770,0.11783295711060948,0.32686567164179103,0.11783295711060948,960,206
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,1,BRANCH;LINE;CBRANCH,0.15788561525129982,5770,0.109255079006772,0.31865671641791044,0.109255079006772,911,204
edu.stanford.nlp.ling.CoreLabel,5,BRANCH;LINE;CBRANCH,0.9183381088825215,698,0.9108910891089109,0.9285714285714286,0.9108910891089109,641,182
edu.stanford.nlp.ling.CoreLabel,2,BRANCH;LINE;CBRANCH,0.9541547277936963,698,0.9455445544554455,0.9659863945578231,0.9455445544554455,666,183
edu.stanford.nlp.ling.CoreLabel,3,BRANCH;LINE;CBRANCH,0.9570200573065902,698,0.9504950495049505,0.9693877551020408,0.9455445544554455,668,169
edu.stanford.nlp.ling.CoreLabel,4,BRANCH;LINE;CBRANCH,0.9412607449856734,698,0.9405940594059405,0.9489795918367347,0.9306930693069307,657,185
edu.stanford.nlp.ling.CoreLabel,1,BRANCH;LINE;CBRANCH,0.9297994269340975,698,0.9257425742574258,0.9387755102040817,0.9207920792079208,649,179
edu.stanford.nlp.dcoref.Mention,1,BRANCH;LINE;CBRANCH,0.2626662892725729,3533,0.22367409684857803,0.3845327604726101,0.21445042275172943,928,299
edu.stanford.nlp.dcoref.Mention,2,BRANCH;LINE;CBRANCH,0.27766770450042455,3533,0.24212144504227517,0.39312567132116005,0.23059185242121444,981,308
edu.stanford.nlp.dcoref.Mention,4,BRANCH;LINE;CBRANCH,0.2451174639116898,3533,0.2121445042275173,0.3770139634801289,0.18370484242890084,866,302
edu.stanford.nlp.dcoref.Mention,5,BRANCH;LINE;CBRANCH,0.2451174639116898,3533,0.2121445042275173,0.3770139634801289,0.18370484242890084,866,302
edu.stanford.nlp.dcoref.Mention,3,BRANCH;LINE;CBRANCH,0.26238324370223604,3533,0.22905457340507301,0.3920515574650913,0.20292083013066872,927,303
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,1,BRANCH;LINE;CBRANCH,0.31988472622478387,347,0.2840909090909091,0.3567251461988304,0.2840909090909091,111,24
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,3,BRANCH;LINE;CBRANCH,0.3112391930835735,347,0.2727272727272727,0.3508771929824561,0.2727272727272727,108,22
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,4,BRANCH;LINE;CBRANCH,0.31988472622478387,347,0.2840909090909091,0.3567251461988304,0.2840909090909091,111,25
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,5,BRANCH;LINE;CBRANCH,0.30835734870317005,347,0.2727272727272727,0.34502923976608185,0.2727272727272727,107,21
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,2,BRANCH;LINE;CBRANCH,0.30835734870317005,347,0.2727272727272727,0.34502923976608185,0.2727272727272727,107,21
edu.stanford.nlp.pipeline.MorphaAnnotator,1,BRANCH;LINE;CBRANCH,0.7155963302752294,109,0.6764705882352942,0.7804878048780488,0.6764705882352942,78,20
edu.stanford.nlp.pipeline.MorphaAnnotator,4,BRANCH;LINE;CBRANCH,0.7155963302752294,109,0.6764705882352942,0.7804878048780488,0.6764705882352942,78,18
edu.stanford.nlp.pipeline.MorphaAnnotator,3,BRANCH;LINE;CBRANCH,0.42201834862385323,109,0.35294117647058826,0.5365853658536586,0.35294117647058826,46,13
edu.stanford.nlp.pipeline.MorphaAnnotator,2,BRANCH;LINE;CBRANCH,0.8532110091743119,109,0.8235294117647058,0.9024390243902439,0.8235294117647058,93,21
edu.stanford.nlp.pipeline.MorphaAnnotator,5,BRANCH;LINE;CBRANCH,0.42201834862385323,109,0.35294117647058826,0.5365853658536586,0.35294117647058826,46,12
edu.stanford.nlp.pipeline.NERCombinerAnnotator,1,BRANCH;LINE;CBRANCH,0.4111600587371512,681,0.3492063492063492,0.4884488448844885,0.3492063492063492,280,60
edu.stanford.nlp.pipeline.NERCombinerAnnotator,2,BRANCH;LINE;CBRANCH,0.37591776798825255,681,0.31746031746031744,0.44884488448844884,0.31746031746031744,256,53
edu.stanford.nlp.pipeline.NERCombinerAnnotator,5,BRANCH;LINE;CBRANCH,0.3744493392070485,681,0.31216931216931215,0.4521452145214521,0.31216931216931215,255,46
edu.stanford.nlp.pipeline.NERCombinerAnnotator,4,BRANCH;LINE;CBRANCH,0.37591776798825255,681,0.31746031746031744,0.44884488448844884,0.31746031746031744,256,42
edu.stanford.nlp.pipeline.NERCombinerAnnotator,3,BRANCH;LINE;CBRANCH,0.37591776798825255,681,0.31746031746031744,0.44884488448844884,0.31746031746031744,256,56
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,1,BRANCH;LINE;CBRANCH,0.2296869504045023,2843,0.1955241460541814,0.2812227074235808,0.19434628975265017,653,127
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,4,BRANCH;LINE;CBRANCH,0.22335561027084067,2843,0.1872791519434629,0.2786026200873362,0.18492343934040048,635,123
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,3,BRANCH;LINE;CBRANCH,0.2919451283855083,2843,0.2579505300353357,0.34323144104803494,0.25677267373380447,830,151
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,2,BRANCH;LINE;CBRANCH,0.29933169187478015,2843,0.27208480565371024,0.3406113537117904,0.270906949352179,851,163
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,5,BRANCH;LINE;CBRANCH,0.2729511079845234,2843,0.24263839811542992,0.31877729257641924,0.2414605418138987,776,161
edu.stanford.nlp.pipeline.CorefAnnotator,1,BRANCH;LINE;CBRANCH,0.16317991631799164,239,0.14285714285714285,0.18584070796460178,0.14285714285714285,39,11
edu.stanford.nlp.pipeline.CorefAnnotator,4,BRANCH;LINE;CBRANCH,0.100418410041841,239,0.06349206349206349,0.1415929203539823,0.06349206349206349,24,7
edu.stanford.nlp.pipeline.CorefAnnotator,3,BRANCH;LINE;CBRANCH,0.16317991631799164,239,0.14285714285714285,0.18584070796460178,0.14285714285714285,39,12
edu.stanford.nlp.pipeline.CorefAnnotator,2,BRANCH;LINE;CBRANCH,0.16317991631799164,239,0.14285714285714285,0.18584070796460178,0.14285714285714285,39,10
edu.stanford.nlp.pipeline.CorefAnnotator,5,BRANCH;LINE;CBRANCH,0.100418410041841,239,0.06349206349206349,0.1415929203539823,0.06349206349206349,24,7
edu.stanford.nlp.pipeline.CorefMentionAnnotator,1,BRANCH;LINE;CBRANCH,0.0375,240,0.014925373134328358,0.0660377358490566,0.014925373134328358,9,3
edu.stanford.nlp.pipeline.CorefMentionAnnotator,2,BRANCH;LINE;CBRANCH,0.025,240,0.014925373134328358,0.03773584905660377,0.014925373134328358,6,2
edu.stanford.nlp.pipeline.CorefMentionAnnotator,5,BRANCH;LINE;CBRANCH,0.0375,240,0.014925373134328358,0.0660377358490566,0.014925373134328358,9,2
edu.stanford.nlp.pipeline.CorefMentionAnnotator,4,BRANCH;LINE;CBRANCH,0.0375,240,0.014925373134328358,0.0660377358490566,0.014925373134328358,9,2
edu.stanford.nlp.pipeline.CorefMentionAnnotator,3,BRANCH;LINE;CBRANCH,0.0375,240,0.014925373134328358,0.0660377358490566,0.014925373134328358,9,3
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,1,BRANCH;LINE;CBRANCH,0.08458646616541353,532,0.06493506493506493,0.11160714285714286,0.06493506493506493,45,7
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,3,BRANCH;LINE;CBRANCH,0.08458646616541353,532,0.06493506493506493,0.11160714285714286,0.06493506493506493,45,8
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,4,BRANCH;LINE;CBRANCH,0.08458646616541353,532,0.06493506493506493,0.11160714285714286,0.06493506493506493,45,8
