TARGET_CLASS,attempt,criterion,Coverage,Total_Goals,BranchCoverage,LineCoverage,CBranchCoverage,Covered_Goals,Tests_Executed
edu.illinois.cs.cogcomp.comma.datastructures.Comma,1,BRANCH;LINE;CBRANCH,0.24489795918367346,686,0.23655913978494625,0.321656050955414,0.12365591397849462,168,8
edu.illinois.cs.cogcomp.ner.NERAnnotator,1,BRANCH;LINE;CBRANCH,0.15680473372781065,338,0.11538461538461539,0.19230769230769232,0.11538461538461539,53,3
gate.corpora.CorpusImpl,1,BRANCH;LINE;CBRANCH,,505,0.3,0.1,,,2
gate.corpora.DocumentImpl,1,BRANCH;LINE;CBRANCH,,2418,0.18,0.31,,,5
gate.corpora.DocumentStaxUtils,1,BRANCH;LINE;CBRANCH,0.0595939751146038,1527,0.08072916666666667,0.03820816864295125,0.08072916666666667,91,1
gate.annotation.AnnotationSetImpl,1,BRANCH;LINE;CBRANCH,,,0.28,0.38,,,
gate.annotation.AnnotationImpl,1,BRANCH;LINE;CBRANCH,,,0.19,0.26,,,
gate.creole.CreoleRegisterImpl,1,BRANCH;LINE;CBRANCH,,,0.26,0.43,,,
cc.mallet.types.SparseVector,1,BRANCH;LINE;CBRANCH,0.26279271465741544,1153,0.2727272727272727,0.27839643652561247,0.23295454545454544,303,9
cc.mallet.types.AugmentableFeatureVector,1,BRANCH;LINE;CBRANCH,0.12863705972434916,1306,0.11910112359550562,0.15384615384615385,0.1146067415730337,168,3
cc.mallet.classify.NaiveBayes,1,BRANCH;LINE;CBRANCH,0.39436619718309857,213,0.42105263157894735,0.36363636363636365,0.42105263157894735,84,6
cc.mallet.classify.MaxEnt,1,BRANCH;LINE;CBRANCH,0.1519756838905775,329,0.16279069767441862,0.18471337579617833,0.08139534883720931,50,3
cc.mallet.fst.CRF,1,BRANCH;LINE;CBRANCH,0.43173580346355217,2483,0.39473684210526316,0.5255052935514918,0.3337950138504155,1072,23
edu.stanford.nlp.process.PTBTokenizer,1,BRANCH;LINE;CBRANCH,0.11324376199616124,521,0.11347517730496454,0.13389121338912133,0.07801418439716312,59,17
edu.stanford.nlp.pipeline.StanfordCoreNLP,1,BRANCH;LINE;CBRANCH,0.1921985815602837,1410,0.21204188481675393,0.16873065015479877,0.21204188481675393,271,7
edu.stanford.nlp.pipeline.TokenizerAnnotator,1,BRANCH;LINE;CBRANCH,0.4834905660377358,424,0.53,0.70,0.38016528925619836,205,7
edu.stanford.nlp.pipeline.CleanXmlAnnotator,1,BRANCH;LINE;CBRANCH,0.30939226519337015,1086,0.69,0.84,0.0440251572327044,336,12
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,1,BRANCH;LINE;CBRANCH,0.5763688760806917,347,0.68,0.73,0.5227272727272727,200,11
edu.stanford.nlp.process.Morphology,1,BRANCH;LINE;CBRANCH,0.26066350710900477,211,0.2727272727272727,0.33663366336633666,0.10909090909090909,55,5
edu.stanford.nlp.process.WordToSentenceProcessor,1,BRANCH;LINE;CBRANCH,0.6146341463414634,615,0.5654205607476636,0.7272727272727273,0.5654205607476636,378,12
opennlp.tools.ml.maxent.GISTrainer,1,BRANCH;LINE;CBRANCH,,467,0.70,0.82,,,1
opennlp.tools.stemmer.PorterStemmer,1,BRANCH;LINE;CBRANCH,,978,0.41,0.62,,,1
opennlp.tools.stemmer.SnowballStemmer,1,BRANCH;LINE;CBRANCH,,978,0.9,0.94,,,1
opennlp.tools.stemmer.arabicStemmer,1,BRANCH;LINE;CBRANCH,,978,0.16,0.45,,,1
opennlp.tools.stemmer.greekStemmer,1,BRANCH;LINE;CBRANCH,,978,0.16,0.39,,,1
opennlp.tools.parser.Parse,1,BRANCH;LINE;CBRANCH,,987,0.36,0.39,,,1
opennlp.tools.ngram.NGramModel,1,BRANCH;LINE;CBRANCH,,193,0.61,0.76,,,1
